seasonYear,date,gridID,startTime,duration,eBirdUsers,primaryObserver,secondaryObserver,fieldAssistant,notes
2024 Summer,2024-Apr-24,L06,7:49,10,"jeganathan, pritibangal",P. Jeganathan,Priti Bangal,Sundararaj,"Clear, reservoir view, no water"
2024 Summer,2024-Apr-24,K06,8:04,10,"jeganathan, pritibangal",P. Jeganathan,Priti Bangal,Sundararaj,"Clear, cicada but not too bad"
2024 Summer,2024-Apr-24,K07,8:25,10,"jeganathan, pritibangal",P. Jeganathan,Priti Bangal,Sundararaj,"Clear, cicada call, draco seen at the point"
2024 Summer,2024-Apr-24,J07,8:40,10,"jeganathan, pritibangal",P. Jeganathan,Priti Bangal,Sundararaj,"Clear, cicada but not too bad"
2024 Summer,2024-Apr-23,H17,6:15,10,"pritibangal, trsraman",Priti Bangal,T R Shankar Raman,Sundararaj,"Clear, light just coming up"
2024 Summer,2024-Apr-23,H16,6:31,10,"pritibangal, trsraman",Priti Bangal,T R Shankar Raman,Sundararaj,"Clear, sun coming up"
2024 Summer,2024-Apr-23,G16,6:44,10,"pritibangal, trsraman",Priti Bangal,T R Shankar Raman,Sundararaj,Clear
2024 Summer,2024-Apr-23,G15,6:59,10,"pritibangal, trsraman",Priti Bangal,T R Shankar Raman,Sundararaj,"Clear, sunny"
2024 Summer,2024-Apr-23,G14,7:15,10,"pritibangal, trsraman",Priti Bangal,T R Shankar Raman,Sundararaj,"Clear, sunny"
2024 Summer,2024-Apr-23,F14,7:29,10,"pritibangal, trsraman",Priti Bangal,T R Shankar Raman,Sundararaj,"Clear, sunny"
2024 Summer,2024-Apr-23,F15,7:46,10,"pritibangal, trsraman",Priti Bangal,T R Shankar Raman,Sundararaj,"Sunny, bright"
2024 Summer,2024-Apr-23,F16,8:01,10,"pritibangal, trsraman",Priti Bangal,T R Shankar Raman,Sundararaj,"Clear, sunny"
2024 Summer,2024-Apr-23,E15,8:18,10,"pritibangal, trsraman",Priti Bangal,T R Shankar Raman,Sundararaj,"Clear, sunny"
2024 Summer,2024-Apr-23,D15,8:37,10,"pritibangal, trsraman",Priti Bangal,T R Shankar Raman,Sundararaj,"Clear, sunny, by the stream"
2024 Summer,2024-Apr-23,E14,9:01,10,"pritibangal, trsraman",Priti Bangal,T R Shankar Raman,Sundararaj,"Clear, noisy stream"
2024 Summer,2024-Apr-23,N16,6:39,10,"paintedstork, jiggilypop",Praveen J,Jignasa Patel,Rajesh,Clear
2024 Summer,2024-Apr-23,N15,6:59,10,"paintedstork, jiggilypop",Praveen J,Jignasa Patel,Rajesh,Clear
2024 Summer,2024-Apr-23,N14,7:15,10,"jiggilypop, paintedstork",Jignasa Patel,Praveen J,Rajesh,"Clear, sunny"
2024 Summer,2024-Apr-23,N13,7:29,10,"jiggilypop, paintedstork",Jignasa Patel,Praveen J,Rajesh,"Clear, sunny"
2024 Summer,2024-Apr-23,N12,7:46,10,"jiggilypop, paintedstork",Jignasa Patel,Praveen J,Rajesh,"Clear, sunny"
2024 Summer,2024-Apr-23,N11,8:03,10,"paintedstork, jiggilypop",Praveen J,Jignasa Patel,Rajesh,"Clear, sunny"
2024 Summer,2024-Apr-23,N10,8:19,10,"jiggilypop, paintedstork",Jignasa Patel,Praveen J,Rajesh,"Clear, sunny, first cic call started"
2024 Summer,2024-Apr-23,N09,8:34,10,"jiggilypop, paintedstork",Jignasa Patel,Praveen J,Rajesh,"Clear, sunny"
2024 Summer,2024-Apr-23,N08,8:52,10,"paintedstork, jiggilypop",Praveen J,Jignasa Patel,Rajesh,"Clear, sunny"
2024 Summer,2024-Apr-23,O08,9:07,10,"paintedstork, jiggilypop",Praveen J,Jignasa Patel,Rajesh,"Clear, sunny, cic"
2024 Summer,2024-Apr-23,P08,9:21,10,"paintedstork, jiggilypop",Praveen J,Jignasa Patel,Rajesh,"Clear, sunny, cic"
2024 Summer,2024-Apr-24,K14,6:20,10,"trsraman, jiggilypop",T R Shankar Raman,Jignasa Patel,Rajesh,"Mist, cloudy"
2024 Summer,2024-Apr-24,J14,6:35,10,"trsraman, jiggilypop",T R Shankar Raman,Jignasa Patel,Rajesh,Cloudy
2024 Summer,2024-Apr-24,J15,6:49,10,"trsraman, jiggilypop",T R Shankar Raman,Jignasa Patel,Rajesh,Partly cloudy
2024 Summer,2024-Apr-24,J16,7:04,10,"trsraman, jiggilypop",T R Shankar Raman,Jignasa Patel,Rajesh,Partly cloudy
2024 Summer,2024-Apr-24,J17,7:19,10,"trsraman, jiggilypop",T R Shankar Raman,Jignasa Patel,Rajesh,Partly cloudy
2024 Summer,2024-Apr-24,I17,7:33,10,"jiggilypop, trsraman",Jignasa Patel,T R Shankar Raman,Rajesh,"Partly cloudy, first cic call started"
2024 Summer,2024-Apr-24,I16,7:48,10,"jiggilypop, trsraman",Jignasa Patel,T R Shankar Raman,Rajesh,"Sunny, cic started, not so bad"
2024 Summer,2024-Apr-24,I15,8:04,10,"jiggilypop, trsraman",Jignasa Patel,T R Shankar Raman,Rajesh,"Sunny, cic"
2024 Summer,2024-Apr-24,H15,8:19,10,"jiggilypop, trsraman",Jignasa Patel,T R Shankar Raman,Rajesh,Sunny
2024 Summer,2024-Apr-24,H14,8:32,10,"jiggilypop, trsraman",Jignasa Patel,T R Shankar Raman,Rajesh,"Partly cloudy, cic"
2024 Summer,2024-Apr-24,I14,8:46,10,"jiggilypop, trsraman",Jignasa Patel,T R Shankar Raman,Rajesh,"Partly cloudy, cic"
2024 Summer,2024-Apr-25,E04,6:11,10,"jiggilypop, pritibangal",Jignasa Patel,Priti Bangal,Sundararaj,"Misty, cloudy, frogs calling"
2024 Summer,2024-Apr-25,F04,6:26,10,"jiggilypop, pritibangal",Jignasa Patel,Priti Bangal,Sundararaj,"Misty, cloudy, frogs calling"
2024 Summer,2024-Apr-25,G04,6:48,10,"pritibangal, jiggilypop",Priti Bangal,Jignasa Patel,Sundararaj,"Wet, misty, near stream"
2024 Summer,2024-Apr-25,H04,7:07,10,"pritibangal, jiggilypop",Priti Bangal,Jignasa Patel,Sundararaj,Sun coming out
2024 Summer,2024-Apr-25,I03,7:26,10,"jiggilypop, pritibangal",Jignasa Patel,Priti Bangal,Sundararaj,"Mist clearing, dew falling"
2024 Summer,2024-Apr-25,H03,7:42,10,"jiggilypop, pritibangal",Jignasa Patel,Priti Bangal,Sundararaj,"Sun is coming through, cicadas started at 0747"
2024 Summer,2024-Apr-25,G03,7:57,10,"pritibangal, jiggilypop",Priti Bangal,Jignasa Patel,Sundararaj,"Clear, sunny"
2024 Summer,2024-Apr-25,F03,8:14,10,"pritibangal, jiggilypop",Priti Bangal,Jignasa Patel,Sundararaj,Sunny
2024 Summer,2024-Apr-25,F02,8:32,10,"jiggilypop, pritibangal",Jignasa Patel,Priti Bangal,Sundararaj,"Sunny, mixed flocks"
2024 Summer,2024-Apr-25,E03,8:58,10,"jiggilypop, pritibangal",Jignasa Patel,Priti Bangal,Sundararaj,"Sunny, cic"
2024 Summer,2024-Apr-22,J11,6:28,10,"jeganathan, jiggilypop",P. Jeganathan,Jignasa Patel,Rajesh,"Partially cloudy, wind 0, cc 70%"
2024 Summer,2024-Apr-22,K11,6:44,10,"jeganathan, jiggilypop",P. Jeganathan,Jignasa Patel,Rajesh,"Near stream, wind 0, cc 60%"
2024 Summer,2024-Apr-22,L11,7:00,10,"jeganathan, jiggilypop",P. Jeganathan,Jignasa Patel,Rajesh,"Partially cloudy, wind 0, cc 40%"
2024 Summer,2024-Apr-22,M11,7:15,10,"jeganathan, jiggilypop",P. Jeganathan,Jignasa Patel,Rajesh,"Partially cloudy, Near stream, wind 0"
2024 Summer,2024-Apr-22,M12,7:31,10,"jeganathan, jiggilypop",P. Jeganathan,Jignasa Patel,Rajesh,"Near stream, open, cc 40% clear skies"
2024 Summer,2024-Apr-22,L12,7:48,10,"jeganathan, jiggilypop",P. Jeganathan,Jignasa Patel,Rajesh,Sunny
2024 Summer,2024-Apr-22,K12,8:04,10,"jeganathan, jiggilypop",P. Jeganathan,Jignasa Patel,Rajesh,"Clear, sunny, wind 0, cc10%, at stream but less water, cicada but not too bad"
2024 Summer,2024-Apr-22,K13,8:18,10,"jeganathan, jiggilypop",P. Jeganathan,Jignasa Patel,Rajesh,"cc 40%, clear, sunny, cicada but not too bad"
2024 Summer,2024-Apr-22,L13,8:34,10,"jeganathan, jiggilypop",P. Jeganathan,Jignasa Patel,Rajesh,"Wind 0, clear, sunny, Black-tipped Forest Glory"
2024 Summer,2024-Apr-22,M13,8:47,10,"jeganathan, jiggilypop",P. Jeganathan,Jignasa Patel,Rajesh,"Wind 0, clear, sunny, cicada increasing, Black-tipped Forest Glory, Blue Bush-dart and Bamboo-tail"
2024 Summer,2024-Apr-22,G09,NA,NA,NA,NA,NA,NA,MISSED SURVEYING THIS POINT
2024 Winter,2024-Dec-16,J10,6:42,10,"pritibangal, rikudoukarthik",Priti Bangal,Karthik Thrikkadeeri,Moorthy,Clear sunny morning
2024 Winter,2024-Dec-16,K10,7:02,10,"pritibangal, rikudoukarthik",Priti Bangal,Karthik Thrikkadeeri,Moorthy,Clear sunny morning
2024 Winter,2024-Dec-16,L10,7:23,10,"pritibangal, rikudoukarthik",Priti Bangal,Karthik Thrikkadeeri,Moorthy,Beside a noisy stream
2024 Winter,2024-Dec-16,M10,7:46,10,"pritibangal, rikudoukarthik",Priti Bangal,Karthik Thrikkadeeri,Moorthy,"Clear, sunny"
2024 Winter,2024-Dec-16,M09,8:04,10,"pritibangal, rikudoukarthik",Priti Bangal,Karthik Thrikkadeeri,Moorthy,"Clear, sunny"
2024 Winter,2024-Dec-16,L09,8:24,10,"pritibangal, rikudoukarthik",Priti Bangal,Karthik Thrikkadeeri,Moorthy,"Stream noise nearby, bright clear morning"
2024 Winter,2024-Dec-16,K09,8:41,10,"pritibangal, rikudoukarthik",Priti Bangal,Karthik Thrikkadeeri,Moorthy,"Clear, sunny"
2024 Winter,2024-Dec-16,J09,9:00,10,"pritibangal, rikudoukarthik",Priti Bangal,Karthik Thrikkadeeri,Moorthy,"Clear, sunny"
2024 Winter,2024-Dec-16,I09,9:20,10,"pritibangal, rikudoukarthik",Priti Bangal,Karthik Thrikkadeeri,Moorthy,"Clear, sunny"
2024 Winter,2024-Dec-16,I08,9:39,10,"pritibangal, rikudoukarthik",Priti Bangal,Karthik Thrikkadeeri,Moorthy,"Clear, sunny"
2024 Winter,2024-Dec-16,H08,10:00,10,"pritibangal, rikudoukarthik",Priti Bangal,Karthik Thrikkadeeri,Moorthy,"stream nearby (not very close), bright clear morning. Cicada started calling towards the end."
2024 Winter,2024-Dec-16,J11,6:47,10,"trsraman, navendupage",T R Shankar Raman,Navendu Page,Sundararaj,Partly cloudy
2024 Winter,2024-Dec-16,K11,7:03,10,"trsraman, navendupage",T R Shankar Raman,Navendu Page,Sundararaj,Clear
2024 Winter,2024-Dec-16,L11,7:19,10,"trsraman, navendupage",T R Shankar Raman,Navendu Page,Sundararaj,"Clear, sunny"
2024 Winter,2024-Dec-16,M11,7:35,10,"trsraman, navendupage",T R Shankar Raman,Navendu Page,Sundararaj,"Near stream and E. tuberculatus with MGH nest (not occupied); Clear, sunny"
2024 Winter,2024-Dec-16,M12,7:51,10,"trsraman, navendupage",T R Shankar Raman,Navendu Page,Sundararaj,"Clear, sunny"
2024 Winter,2024-Dec-16,M13,8:08,10,"trsraman, navendupage",T R Shankar Raman,Navendu Page,Sundararaj,"Clear, sunny"
2024 Winter,2024-Dec-16,L13,8:23,10,"trsraman, navendupage",T R Shankar Raman,Navendu Page,Sundararaj,"Clear, sunny"
2024 Winter,2024-Dec-16,L12,8:38,10,"trsraman, navendupage",T R Shankar Raman,Navendu Page,Sundararaj,"Clear, sunny"
2024 Winter,2024-Dec-16,K12,8:53,10,"trsraman, navendupage",T R Shankar Raman,Navendu Page,Sundararaj,"Clear, sunny"
2024 Winter,2024-Dec-16,K13,9:09,10,"trsraman, navendupage",T R Shankar Raman,Navendu Page,Sundararaj,"Clear, sunny"
2024 Winter,2024-Dec-16,K14,9:27,10,"trsraman, navendupage",T R Shankar Raman,Navendu Page,Sundararaj,"Clear, sunny"
2024 Winter,2024-Dec-16,L14,9:42,10,"trsraman, navendupage",T R Shankar Raman,Navendu Page,Sundararaj,"Near flowering bombax ceiba; Clear, sunny"
2024 Winter,2024-Dec-16,J12,6:38,10,"jeganathan, jiggilypop",P. Jeganathan,Jignasa Patel,Rajesh,"Clear, sunny"
2024 Winter,2024-Dec-16,J13,6:54,10,"jeganathan, jiggilypop",P. Jeganathan,Jignasa Patel,Rajesh,NA
2024 Winter,2024-Dec-16,I13,7:08,10,"jeganathan, jiggilypop",P. Jeganathan,Jignasa Patel,Rajesh,NA
2024 Winter,2024-Dec-16,H13,7:23,10,"jeganathan, jiggilypop",P. Jeganathan,Jignasa Patel,Rajesh,NA
2024 Winter,2024-Dec-16,G13,7:37,10,"jeganathan, jiggilypop",P. Jeganathan,Jignasa Patel,Rajesh,"Stream noise, about 80m from here"
2024 Winter,2024-Dec-16,F13,7:54,10,"jeganathan, jiggilypop",P. Jeganathan,Jignasa Patel,Rajesh,"Stream noise, about 10m from here"
2024 Winter,2024-Dec-16,G12,8:17,10,"jeganathan, jiggilypop",P. Jeganathan,Jignasa Patel,Rajesh,Gaur on the way. Rajesh had to shoo it. Stream noise + Spraying noise
2024 Winter,2024-Dec-16,H12,8:32,10,"jeganathan, jiggilypop",P. Jeganathan,Jignasa Patel,Rajesh,Spraying noise
2024 Winter,2024-Dec-16,H11,8:51,10,"jeganathan, jiggilypop",P. Jeganathan,Jignasa Patel,Rajesh,"Spraying noise throughout, slowed down after about 5 mins"
2024 Winter,2024-Dec-16,H10,9:07,10,"jeganathan, jiggilypop",P. Jeganathan,Jignasa Patel,Rajesh,"Near tea, spraying noise"
2024 Winter,2024-Dec-17,F16,6:39,10,"jeganathan, navendupage",P. Jeganathan,Navendu Page,Rajesh,"Clear, sunny"
2024 Winter,2024-Dec-17,G16,6:53,10,"jeganathan, navendupage",P. Jeganathan,Navendu Page,Rajesh,
2024 Winter,2024-Dec-17,H16,7:05,10,"jeganathan, navendupage",P. Jeganathan,Navendu Page,Rajesh,
2024 Winter,2024-Dec-17,H15,7:21,10,"jeganathan, navendupage",P. Jeganathan,Navendu Page,Rajesh,
2024 Winter,2024-Dec-17,G15,7:35,10,"jeganathan, navendupage",P. Jeganathan,Navendu Page,Rajesh,
2024 Winter,2024-Dec-17,F15,7:48,10,"jeganathan, navendupage",P. Jeganathan,Navendu Page,Rajesh,
2024 Winter,2024-Dec-17,E15,8:01,10,"jeganathan, navendupage",P. Jeganathan,Navendu Page,Rajesh,Spraying motor started after 5 mins but stopped after a brief while
2024 Winter,2024-Dec-17,D15,8:18,10,"jeganathan, navendupage",P. Jeganathan,Navendu Page,Rajesh,"Spraying noise but far. In AudioMoth recording, mentioned as D16 by mistake."
2024 Winter,2024-Dec-17,E14,8:32,10,"jeganathan, navendupage",P. Jeganathan,Navendu Page,Rajesh,Spraying noise. 2 Draco seen.
2024 Winter,2024-Dec-17,F14,8:47,10,"jeganathan, navendupage",P. Jeganathan,Navendu Page,Rajesh,"Start time is estimated post-hoc (time not noted in field, AudioMoth recording not available)"
2024 Winter,2024-Dec-17,G14,9:02,10,"jeganathan, navendupage",P. Jeganathan,Navendu Page,Rajesh,Spraying noise but far
2024 Winter,2024-Dec-17,H14,9:17,10,"jeganathan, navendupage",P. Jeganathan,Navendu Page,Rajesh,Spraying noise
2024 Winter,2024-Dec-17,I15,6:40,10,"trsraman, rikudoukarthik",T R Shankar Raman,Karthik Thrikkadeeri,Sundararaj,Clear
2024 Winter,2024-Dec-17,I14,6:54,10,"trsraman, rikudoukarthik",T R Shankar Raman,Karthik Thrikkadeeri,Sundararaj,"Clear, sunny"
2024 Winter,2024-Dec-17,J15,7:10,10,"trsraman, rikudoukarthik",T R Shankar Raman,Karthik Thrikkadeeri,Sundararaj,"Clear, sunny"
2024 Winter,2024-Dec-17,J14,7:24,10,"trsraman, rikudoukarthik",T R Shankar Raman,Karthik Thrikkadeeri,Sundararaj,"Clear, sunny"
2024 Winter,2024-Dec-17,K15,7:40,10,"trsraman, rikudoukarthik",T R Shankar Raman,Karthik Thrikkadeeri,Sundararaj,"Clear, sunny"
2024 Winter,2024-Dec-17,L15,7:56,10,"trsraman, rikudoukarthik",T R Shankar Raman,Karthik Thrikkadeeri,Sundararaj,"Clear, sunny"
2024 Winter,2024-Dec-17,M15,8:11,10,"rikudoukarthik, trsraman",Karthik Thrikkadeeri,T R Shankar Raman,Sundararaj,"Clear, sunny"
2024 Winter,2024-Dec-17,N15,8:29,10,"rikudoukarthik, trsraman",Karthik Thrikkadeeri,T R Shankar Raman,Sundararaj,"Clear, sunny"
2024 Winter,2024-Dec-17,N14,8:45,10,"rikudoukarthik, trsraman",Karthik Thrikkadeeri,T R Shankar Raman,Sundararaj,"Clear, sunny"
2024 Winter,2024-Dec-17,N13,9:00,10,"rikudoukarthik, trsraman",Karthik Thrikkadeeri,T R Shankar Raman,Sundararaj,"Clear, sunny"
2024 Winter,2024-Dec-17,N12,9:18,10,"rikudoukarthik, trsraman",Karthik Thrikkadeeri,T R Shankar Raman,Sundararaj,"Clear, sunny"
2024 Winter,2024-Dec-17,M14,9:52,10,"rikudoukarthik, trsraman",Karthik Thrikkadeeri,T R Shankar Raman,Sundararaj,"Clear, sunny"
2024 Winter,2024-Dec-17,I17,6:40,10,"pritibangal, jiggilypop",Priti Bangal,Jignasa Patel,Moorthy,"Clear, sunny"
2024 Winter,2024-Dec-17,J17,6:56,10,"pritibangal, jiggilypop",Priti Bangal,Jignasa Patel,Moorthy,"Clear, sunny"
2024 Winter,2024-Dec-17,K17,7:13,10,"pritibangal, jiggilypop",Priti Bangal,Jignasa Patel,Moorthy,"Clear, sunny; stream noise"
2024 Winter,2024-Dec-17,L17,7:29,10,"jiggilypop, pritibangal",Jignasa Patel,Priti Bangal,Moorthy,"Clear, sunny"
2024 Winter,2024-Dec-17,M17,7:46,10,"pritibangal, jiggilypop",Priti Bangal,Jignasa Patel,Moorthy,"Clear, sunny"
