"year_season","date","gridID","start_time","time_segment","common_name","number","distance","HSF","remarks","scientific_name","dataType"
"2024 Summer","2024-Apr-25","D02","7:52","1","Great Hornbill",1,50,"H","","Buceros bicornis","point_count"
"2024 Summer","2024-Apr-25","D02","7:52","1","Velvet-fronted Nuthatch",1,20,"H","","Sitta frontalis","point_count"
"2024 Summer","2024-Apr-25","D02","7:52","1","Crimson-backed Sunbird",1,10,"H","","Leptocoma minima","point_count"
"2024 Summer","2024-Apr-25","D02","7:52","1","Greater Racket-tailed Drongo",1,30,"H","","Dicrurus paradiseus","point_count"
"2024 Summer","2024-Apr-25","D02","7:52","1","Puff-throated Babbler",1,50,"H","","Pellorneum ruficeps","point_count"
"2024 Summer","2024-Apr-25","D02","7:52","2","Greater Racket-tailed Drongo",1,50,"H","","Dicrurus paradiseus","point_count"
"2024 Summer","2024-Apr-25","D02","7:52","2","Yellow-browed Bulbul",2,30,"H","","Iole indica","point_count"
"2024 Summer","2024-Apr-25","D02","7:52","2","Crimson-backed Sunbird",1,30,"H","","Leptocoma minima","point_count"
"2024 Summer","2024-Apr-25","E02","8:14","1","Common Tailorbird",1,50,"H","","Orthotomus sutorius","point_count"
"2024 Summer","2024-Apr-25","E02","8:14","1","Red-whiskered Bulbul",2,30,"S","","Pycnonotus jocosus","point_count"
"2024 Summer","2024-Apr-25","E02","8:14","1","Greater Racket-tailed Drongo",1,50,"H","","Dicrurus paradiseus","point_count"
"2024 Summer","2024-Apr-25","E02","8:14","1","Square-tailed Bulbul",2,30,"H","","Hypsipetes ganeesa","point_count"
"2024 Summer","2024-Apr-25","E02","8:14","1","Asian Fairy-bluebird",1,10,"S","","Irena puella","point_count"
"2024 Summer","2024-Apr-25","E02","8:14","1","White-cheeked Barbet",1,50,"H","","Psilopogon viridis","point_count"
"2024 Summer","2024-Apr-25","E02","8:14","1","Nilgiri Flowerpecker",1,30,"H","","Dicaeum concolor","point_count"
"2024 Summer","2024-Apr-25","E02","8:14","1","Yellow-browed Bulbul",2,20,"H","","Iole indica","point_count"
"2024 Summer","2024-Apr-25","E02","8:14","1","Greater Racket-tailed Drongo",1,30,"H","","Dicrurus paradiseus","point_count"
"2024 Summer","2024-Apr-25","E02","8:14","2","White-cheeked Barbet",2,30,"H","","Psilopogon viridis","point_count"
"2024 Summer","2024-Apr-25","E02","8:14","2","Yellow-browed Bulbul",2,10,"S","","Iole indica","point_count"
"2024 Summer","2024-Apr-25","E02","8:14","2","Nilgiri Flowerpecker",1,10,"S","","Dicaeum concolor","point_count"
"2024 Summer","2024-Apr-25","E02","8:14","2","Orange Minivet",2,30,"S","MALE","Pericrocotus flammeus","point_count"
"2024 Summer","2024-Apr-25","D03","8:37","1","White-bellied Treepie",1,30,"H","","Dendrocitta leucogastra","point_count"
"2024 Summer","2024-Apr-25","D03","8:37","1","Asian Fairy-bluebird",1,30,"H","","Irena puella","point_count"
"2024 Summer","2024-Apr-25","D03","8:37","1","Vernal Hanging-Parrot",1,30,"F","UC","Loriculus vernalis","point_count"
"2024 Summer","2024-Apr-25","D03","8:37","1","Indian Peafowl",1,50,"H","From tea","Pavo cristatus","point_count"
"2024 Summer","2024-Apr-25","D03","8:37","1","White-cheeked Barbet",1,30,"H","","Psilopogon viridis","point_count"
"2024 Summer","2024-Apr-25","D03","8:37","2","Red-whiskered Bulbul",2,50,"H","in tea","Pycnonotus jocosus","point_count"
"2024 Summer","2024-Apr-25","D03","8:37","2","Greater Racket-tailed Drongo",1,30,"H","","Dicrurus paradiseus","point_count"
"2024 Summer","2024-Apr-25","D03","8:37","2","Southern Hill Myna",3,50,"F","over head flight","Gracula indica","point_count"
"2024 Summer","2024-Apr-25","C03","8:55","1","Red-whiskered Bulbul",10,10,"S","feeding on Macaranga fruits","Pycnonotus jocosus","point_count"
"2024 Summer","2024-Apr-25","C03","8:55","1","Plum-headed Parakeet",1,10,"S","Tailess female","Psittacula cyanocephala","point_count"
"2024 Summer","2024-Apr-25","C03","8:55","1","Nilgiri Flowerpecker",1,0,"S","","Dicaeum concolor","point_count"
"2024 Summer","2024-Apr-25","C03","8:55","1","White-bellied Treepie",1,30,"H","From forest","Dendrocitta leucogastra","point_count"
"2024 Summer","2024-Apr-25","C03","8:55","2","Vernal Hanging-Parrot",1,30,"H","","Loriculus vernalis","point_count"
"2024 Summer","2024-Apr-25","C03","8:55","2","Oriental Magpie-Robin",1,30,"H","","Copsychus saularis","point_count"
"2024 Summer","2024-Apr-25","C03","8:55","2","Plum-headed Parakeet",1,10,"S","","Psittacula cyanocephala","point_count"
"2024 Summer","2024-Apr-25","C03","8:55","2","Indian White-eye",1,50,"H","Heard by Praveen","Zosterops palpebrosus","point_count"
"2024 Summer","2024-Apr-22","J13","6:33","1","Yellow-browed Bulbul",2,30,"H","","Iole indica","point_count"
"2024 Summer","2024-Apr-22","J13","6:33","1","Indian Scimitar-Babbler",2,50,"H","","Pomatorhinus horsfieldii","point_count"
"2024 Summer","2024-Apr-22","J13","6:33","1","Greater Racket-tailed Drongo",1,50,"H","","Dicrurus paradiseus","point_count"
"2024 Summer","2024-Apr-22","J13","6:33","1","Greater Racket-tailed Drongo",1,50,"H","Time: 06:35","Dicrurus paradiseus","point_count"
"2024 Summer","2024-Apr-22","J13","6:33","1","Southern Hill Myna",1,50,"H","GP, ","Gracula indica","point_count"
"2024 Summer","2024-Apr-22","J13","6:33","1","Malabar Barbet",1,50,"H","","Psilopogon malabaricus","point_count"
"2024 Summer","2024-Apr-22","J13","6:33","2","Southern Hill Myna",3,30,"F","UC, Time: 06:42","Gracula indica","point_count"
"2024 Summer","2024-Apr-22","J13","6:33","2","Malabar Whistling-Thrush",1,50,"H","X, Time: 06:43","Myophonus horsfieldii","point_count"
"2024 Summer","2024-Apr-22","I13","6:54","1","Malabar Whistling-Thrush",1,50,"H","","Myophonus horsfieldii","point_count"
"2024 Summer","2024-Apr-22","I13","6:54","1","Indian Scimitar-Babbler",2,50,"H","","Pomatorhinus horsfieldii","point_count"
"2024 Summer","2024-Apr-22","I13","6:54","1","Greater Racket-tailed Drongo",1,50,"H","","Dicrurus paradiseus","point_count"
"2024 Summer","2024-Apr-22","I13","6:54","1","Red-whiskered Bulbul",1,50,"H","GP, Time: 06:56","Pycnonotus jocosus","point_count"
"2024 Summer","2024-Apr-22","I13","6:54","1","White-cheeked Barbet",2,50,"H","Time: 06:57","Psilopogon viridis","point_count"
"2024 Summer","2024-Apr-22","I13","6:54","1","Yellow-browed Bulbul",1,50,"H","Time: 06:58","Iole indica","point_count"
"2024 Summer","2024-Apr-22","I13","6:54","2","Malabar Whistling-Thrush",1,50,"H","Time: 07:02","Myophonus horsfieldii","point_count"
"2024 Summer","2024-Apr-22","I13","6:54","2","Yellow-browed Bulbul",1,30,"H","Time: 07:03","Iole indica","point_count"
"2024 Summer","2024-Apr-22","I13","6:54","2","Nilgiri Flowerpecker",1,5,"F","OC","Dicaeum concolor","point_count"
"2024 Summer","2024-Apr-22","I13","6:54","2","Indian Peafowl",1,50,"H","Time: 07:04","Pavo cristatus","point_count"
"2024 Summer","2024-Apr-22","H13","7:10","1","White-throated Kingfisher",1,50,"H","","Halcyon smyrnensis","point_count"
"2024 Summer","2024-Apr-22","H13","7:10","1","Greenish Warbler",1,30,"H","","Phylloscopus trochiloides","point_count"
"2024 Summer","2024-Apr-22","H13","7:10","1","Southern Hill Myna",1,50,"H","","Gracula indica","point_count"
"2024 Summer","2024-Apr-22","H13","7:10","1","Puff-throated Babbler",1,50,"H","","Pellorneum ruficeps","point_count"
"2024 Summer","2024-Apr-22","H13","7:10","1","Indian Peafowl",1,50,"H","","Pavo cristatus","point_count"
"2024 Summer","2024-Apr-22","H13","7:10","1","Malabar Whistling-Thrush",1,50,"H","Time: 07:13","Myophonus horsfieldii","point_count"
"2024 Summer","2024-Apr-22","H13","7:10","1","Greater Racket-tailed Drongo",1,50,"H","","Dicrurus paradiseus","point_count"
"2024 Summer","2024-Apr-22","H13","7:10","1","Yellow-browed Bulbul",2,30,"H","","Iole indica","point_count"
"2024 Summer","2024-Apr-22","H13","7:10","2","Indian Scimitar-Babbler",1,30,"H","Time: 07:16","Pomatorhinus horsfieldii","point_count"
"2024 Summer","2024-Apr-22","H13","7:10","2","Indian Scimitar-Babbler",1,30,"H","diff","Pomatorhinus horsfieldii","point_count"
"2024 Summer","2024-Apr-22","H13","7:10","2","Large-billed Crow",1,50,"H","","Corvus macrorhynchos","point_count"
"2024 Summer","2024-Apr-22","H13","7:10","2","Indian Peafowl",1,50,"H","","Pavo cristatus","point_count"
"2024 Summer","2024-Apr-22","H13","7:10","2","Greater Racket-tailed Drongo",1,30,"H","Time: 07:19","Dicrurus paradiseus","point_count"
"2024 Summer","2024-Apr-22","H13","7:10","2","Yellow-browed Bulbul",2,20,"H","Time: 07:20","Iole indica","point_count"
"2024 Summer","2024-Apr-22","G13","7:24","1","Vernal Hanging-Parrot",1,10,"H","","Loriculus vernalis","point_count"
"2024 Summer","2024-Apr-22","G13","7:24","1","Yellow-browed Bulbul",2,10,"H","MSF","Iole indica","point_count"
"2024 Summer","2024-Apr-22","G13","7:24","1","Velvet-fronted Nuthatch",1,10,"H","MSF","Sitta frontalis","point_count"
"2024 Summer","2024-Apr-22","G13","7:24","1","Orange Minivet",1,10,"S","GP, MSF","Pericrocotus flammeus","point_count"
"2024 Summer","2024-Apr-22","G13","7:24","1","Southern Hill Myna",1,20,"H","","Gracula indica","point_count"
"2024 Summer","2024-Apr-22","G13","7:24","1","Indian Scimitar-Babbler",1,30,"H","","Pomatorhinus horsfieldii","point_count"
"2024 Summer","2024-Apr-22","G13","7:24","1","Malabar Whistling-Thrush",2,5,"S","Time: 07:20","Myophonus horsfieldii","point_count"
"2024 Summer","2024-Apr-22","G13","7:24","1","Velvet-fronted Nuthatch",2,5,"S","MSF","Sitta frontalis","point_count"
"2024 Summer","2024-Apr-22","G13","7:24","1","Common Tailorbird",1,10,"H","Time: 07:20","Orthotomus sutorius","point_count"
"2024 Summer","2024-Apr-22","G13","7:24","1","Malabar Whistling-Thrush",1,30,"H","","Myophonus horsfieldii","point_count"
"2024 Summer","2024-Apr-22","G13","7:24","1","White-cheeked Barbet",2,10,"H","","Psilopogon viridis","point_count"
"2024 Summer","2024-Apr-22","G13","7:24","2","Southern Hill Myna",1,20,"S","GP, Time: 07:20","Gracula indica","point_count"
"2024 Summer","2024-Apr-22","G13","7:24","2","Asian Fairy-bluebird",1,50,"H","MSF","Irena puella","point_count"
"2024 Summer","2024-Apr-22","G13","7:24","2","Large-billed Crow",1,20,"S","","Corvus macrorhynchos","point_count"
"2024 Summer","2024-Apr-22","G13","7:24","2","Common Tailorbird",1,15,"H","Time: 07:20","Orthotomus sutorius","point_count"
"2024 Summer","2024-Apr-22","G13","7:24","2","Indian Peafowl",1,30,"H","","Pavo cristatus","point_count"
"2024 Summer","2024-Apr-22","G13","7:24","2","White-bellied Treepie",1,50,"H","X","Dendrocitta leucogastra","point_count"
"2024 Summer","2024-Apr-22","F13","7:42","1","Puff-throated Babbler",1,50,"H","","Pellorneum ruficeps","point_count"
"2024 Summer","2024-Apr-22","F13","7:42","1","White-cheeked Barbet",2,50,"H","","Psilopogon viridis","point_count"
"2024 Summer","2024-Apr-22","F13","7:42","1","Yellow-browed Bulbul",1,50,"H","","Iole indica","point_count"
"2024 Summer","2024-Apr-22","F13","7:42","1","Malabar Whistling-Thrush",1,50,"H","","Myophonus horsfieldii","point_count"
"2024 Summer","2024-Apr-22","F13","7:42","1","Red-whiskered Bulbul",1,50,"H","Time: 07:44","Pycnonotus jocosus","point_count"
"2024 Summer","2024-Apr-22","F13","7:42","1","Crimson-backed Sunbird",1,20,"H","","Leptocoma minima","point_count"
"2024 Summer","2024-Apr-22","F13","7:42","1","Indian Peafowl",1,50,"H","Time: 07:46","Pavo cristatus","point_count"
"2024 Summer","2024-Apr-22","F13","7:42","1","Common Tailorbird",1,50,"H","","Orthotomus sutorius","point_count"
"2024 Summer","2024-Apr-22","F13","7:42","1","Greater Racket-tailed Drongo",1,50,"H","","Dicrurus paradiseus","point_count"
"2024 Summer","2024-Apr-22","F13","7:42","2","Greater Racket-tailed Drongo",1,30,"H","Time: 07:49","Dicrurus paradiseus","point_count"
"2024 Summer","2024-Apr-22","F13","7:42","2","Indian Scimitar-Babbler",1,50,"H","Time: 07:50","Pomatorhinus horsfieldii","point_count"
"2024 Summer","2024-Apr-22","F13","7:42","2","Nilgiri Flowerpecker",1,50,"H","Time: 07:51","Dicaeum concolor","point_count"
"2024 Summer","2024-Apr-22","F13","7:42","2","Yellow-browed Bulbul",2,20,"S","","Iole indica","point_count"
"2024 Summer","2024-Apr-22","F13","7:42","2","White-bellied Treepie",1,50,"H","","Dendrocitta leucogastra","point_count"
"2024 Summer","2024-Apr-22","G12","8:00","1","Asian Fairy-bluebird",2,5,"S","","Irena puella","point_count"
"2024 Summer","2024-Apr-22","G12","8:00","1","White-bellied Treepie",2,10,"H","","Dendrocitta leucogastra","point_count"
"2024 Summer","2024-Apr-22","G12","8:00","1","Crimson-backed Sunbird",1,30,"H","GP, ","Leptocoma minima","point_count"
"2024 Summer","2024-Apr-22","G12","8:00","1","White-cheeked Barbet",1,50,"H","","Psilopogon viridis","point_count"
"2024 Summer","2024-Apr-22","G12","8:00","1","Greater Racket-tailed Drongo",1,30,"H","","Dicrurus paradiseus","point_count"
"2024 Summer","2024-Apr-22","G12","8:00","1","White-bellied Treepie",1,50,"H","Time: 08:03","Dendrocitta leucogastra","point_count"
"2024 Summer","2024-Apr-22","G12","8:00","1","Orange Minivet",1,15,"H","GP, ","Pericrocotus flammeus","point_count"
"2024 Summer","2024-Apr-22","G12","8:00","1","Yellow-browed Bulbul",1,20,"H","","Iole indica","point_count"
"2024 Summer","2024-Apr-22","G12","8:00","2","Indian Scimitar-Babbler",2,50,"H","Time: 08:06","Pomatorhinus horsfieldii","point_count"
"2024 Summer","2024-Apr-22","G12","8:00","2","Nilgiri Flowerpecker",1,5,"S","Time: 08:08","Dicaeum concolor","point_count"
"2024 Summer","2024-Apr-22","G12","8:00","2","Yellow-browed Bulbul",1,15,"H","GP, Time: 08:09","Iole indica","point_count"
"2024 Summer","2024-Apr-22","G12","8:00","2","Common Tailorbird",1,50,"H","","Orthotomus sutorius","point_count"
"2024 Summer","2024-Apr-22","G12","8:00","2","White-throated Kingfisher",1,50,"H","","Halcyon smyrnensis","point_count"
"2024 Summer","2024-Apr-22","G12","8:00","2","Malabar Whistling-Thrush",1,50,"H","","Myophonus horsfieldii","point_count"
"2024 Summer","2024-Apr-22","H12","8:18","1","Indian Scimitar-Babbler",1,50,"H","","Pomatorhinus horsfieldii","point_count"
"2024 Summer","2024-Apr-22","H12","8:18","1","Indian White-eye",1,15,"H","GP, ","Zosterops palpebrosus","point_count"
"2024 Summer","2024-Apr-22","H12","8:18","1","Malabar Whistling-Thrush",1,50,"H","","Myophonus horsfieldii","point_count"
"2024 Summer","2024-Apr-22","H12","8:18","1","Crimson-backed Sunbird",1,5,"S","Time: 08:21","Leptocoma minima","point_count"
"2024 Summer","2024-Apr-22","H12","8:18","1","Asian Fairy-bluebird",1,50,"H","","Irena puella","point_count"
"2024 Summer","2024-Apr-22","H12","8:18","1","Common Tailorbird",1,50,"H","","Orthotomus sutorius","point_count"
"2024 Summer","2024-Apr-22","H12","8:18","2","White-cheeked Barbet",1,50,"H","","Psilopogon viridis","point_count"
"2024 Summer","2024-Apr-22","H12","8:18","2","Indian Scimitar-Babbler",1,50,"H","","Pomatorhinus horsfieldii","point_count"
"2024 Summer","2024-Apr-22","H12","8:18","2","White-bellied Treepie",1,50,"H","","Dendrocitta leucogastra","point_count"
"2024 Summer","2024-Apr-22","H12","8:18","2","Malabar Barbet",1,50,"H","Time: 08:26","Psilopogon malabaricus","point_count"
"2024 Summer","2024-Apr-22","H12","8:18","2","Nilgiri Flowerpecker",1,20,"S","Time: 08:28","Dicaeum concolor","point_count"
"2024 Summer","2024-Apr-22","H11","8:39","1","Greater Racket-tailed Drongo",1,30,"H","","Dicrurus paradiseus","point_count"
"2024 Summer","2024-Apr-22","H11","8:39","1","White-cheeked Barbet",1,20,"H","","Psilopogon viridis","point_count"
"2024 Summer","2024-Apr-22","H11","8:39","1","Indian White-eye",1,15,"S","GP, ","Zosterops palpebrosus","point_count"
"2024 Summer","2024-Apr-22","H11","8:39","1","Southern Hill Myna",1,50,"H","GP, ","Gracula indica","point_count"
"2024 Summer","2024-Apr-22","H11","8:39","1","Asian Fairy-bluebird",1,50,"H","","Irena puella","point_count"
"2024 Summer","2024-Apr-22","H11","8:39","1","Greater Racket-tailed Drongo",1,10,"S","Time: 08:42","Dicrurus paradiseus","point_count"
"2024 Summer","2024-Apr-22","H11","8:39","1","Malabar Flameback",1,50,"H","","Chrysocolaptes socialis","point_count"
"2024 Summer","2024-Apr-22","H11","8:39","1","Vernal Hanging-Parrot",1,50,"F","OC","Loriculus vernalis","point_count"
"2024 Summer","2024-Apr-22","H11","8:39","1","Malabar Woodshrike",1,50,"H","","Tephrodornis sylvicola","point_count"
"2024 Summer","2024-Apr-22","H11","8:39","1","Yellow-browed Bulbul",1,30,"H","Time: 08:44","Iole indica","point_count"
"2024 Summer","2024-Apr-22","H11","8:39","1","Malabar Whistling-Thrush",1,50,"H","","Myophonus horsfieldii","point_count"
"2024 Summer","2024-Apr-22","H11","8:39","2","Crimson-backed Sunbird",1,15,"H","Time: 08:47","Leptocoma minima","point_count"
"2024 Summer","2024-Apr-22","H11","8:39","2","Indian Scimitar-Babbler",1,50,"H","","Pomatorhinus horsfieldii","point_count"
"2024 Summer","2024-Apr-22","H10","8:54","1","Malabar Whistling-Thrush",1,50,"H","","Myophonus horsfieldii","point_count"
